"promotion_id","promotion_district_id","promotion_name","media_type","cost","start_date","end_date"
"78","110","Mystery Sale","Sunday Paper, Radio","13747","1998-12-16","1998-12-17"
"81","111","I Cant Believe It Sale","Sunday Paper, Radio, TV","7895","1996-01-17","1996-01-19"
"82","111","Price Winners","Radio","6547","1996-01-31","1996-02-03"
"83","111","Dollar Days","Radio","9645","1996-02-14","1996-02-18"
"84","111","One Day Sale","Daily Paper","5225","1996-02-27","1996-03-01"
"85","111","Price Winners","Sunday Paper, Radio","9177","1996-03-14","1996-03-17"
"86","111","Save-It Sale","Bulk Mail","5866","1996-03-29","1996-03-31"
"87","111","Price Winners","Radio","7509","1996-04-12","1996-04-16"
"88","111","Double Your Savings","Sunday Paper, Radio, TV","14798","1996-04-24","1996-04-26"
"89","111","Wallet Savers","Daily Paper","13623","1996-05-09","1996-05-11"
"90","111","Shelf Clearing Days","Street Handout","6939","1996-05-24","1996-05-26"
"91","111","Unbeatable Price Savers","TV","9783","1996-06-07","1996-06-09"
"92","111","Shelf Emptiers","Cash Register Handout","8781","1996-06-20","1996-06-22"
"93","111","Price Smashers","Radio","9823","1996-07-04","1996-07-05"
"94","111","Three for One","Sunday Paper","9930","1996-07-18","1996-07-19"
"95","111","Weekend Markdown","Radio","11318","1996-07-31","1996-08-03"
"96","111","Sales Days","Sunday Paper, Radio, TV","12026","1996-08-14","1996-08-16"
"97","111","Price Cutters","Product Attachment","10597","1996-08-27","1996-08-28"
"98","111","Price Winners","Sunday Paper, Radio","6085","1996-09-10","1996-09-12"
"99","111","Price Slashers","Product Attachment","8674","1996-09-27","1996-09-28"
"100","111","Money Grabbers","Street Handout","14992","1996-10-08","1996-10-10"
"101","111","Price Savers","Daily Paper","8436","1996-10-23","1996-10-27"
"102","111","Dollar Days","Street Handout","11961","1996-11-06","1996-11-08"
"103","111","Sale Winners","Daily Paper, Radio","10440","1996-11-19","1996-11-22"
"104","111","Save-It Sale","Cash Register Handout","14565","1996-12-04","1996-12-05"
"105","111","Sales Galore","Daily Paper","10226","1996-12-18","1996-12-20"
"106","111","Super Savers","Cash Register Handout","11788","1996-12-31","1997-01-02"
"107","111","Savings Galore","Product Attachment","11468","1997-01-14","1997-01-15"
"108","111","Go For It","Radio","7302","1997-01-29","1997-02-01"
"109","111","High Roller Savings","Street Handout","7836","1997-02-12","1997-02-14"
"110","111","Coupon Spectacular","Daily Paper, Radio, TV","6025","1997-02-26","1997-02-28"
"111","111","Price Winners","Daily Paper, Radio","6905","1997-03-13","1997-03-15"
"112","111","Bag Stuffers","Daily Paper, Radio","11793","1997-03-26","1997-03-29"
"113","111","Dimes Off","Cash Register Handout","7200","1997-04-10","1997-04-12"
"114","111","Free For All","Product Attachment","12180","1997-04-23","1997-04-25"
"115","111","Double Down Sale","Daily Paper, Radio","11605","1997-05-08","1997-05-09"
"116","111","You Save Days","TV","10858","1997-05-20","1997-05-22"
"117","111","Sale Winners","Cash Register Handout","8482","1997-06-04","1997-06-07"
"118","111","Super Savers","TV","11498","1997-06-20","1997-06-24"
"119","111","Unbeatable Price Savers","Daily Paper","9469","1997-07-02","1997-07-06"
"120","111","Unbeatable Price Savers","Daily Paper","10430","1997-07-16","1997-07-19"
"121","111","One Day Sale","Street Handout","9515","1997-07-31","1997-08-04"
"122","111","Tip Top Savings","Cash Register Handout","7913","1997-08-13","1997-08-15"
"123","111","Bag Stuffers","Daily Paper","14428","1997-08-26","1997-08-29"
"124","111","Big Promo","Sunday Paper, Radio, TV","7098","1997-09-10","1997-09-12"
"125","111","Big Promo","Street Handout","7124","1997-09-25","1997-09-27"
"126","111","Sales Galore","Daily Paper, Radio","10903","1997-10-08","1997-10-10"
"127","111","Price Cutters","Street Handout","8620","1997-10-22","1997-10-23"
"128","111","Super Wallet Savers","In-Store Coupon","12999","1997-11-04","1997-11-06"
"129","111","Save-It Sale","In-Store Coupon","5242","1997-11-18","1997-11-21"
"130","111","Bag Stuffers","In-Store Coupon","7058","1997-12-04","1997-12-07"
"131","111","Money Savers","In-Store Coupon","13320","1997-12-19","1997-12-23"
"132","111","Big Time Discounts","Daily Paper, Radio, TV","10654","1998-01-02","1998-01-03"
"133","111","Big Promo","Cash Register Handout","7770","1998-01-16","1998-01-17"
"134","111","Price Destroyers","Sunday Paper, Radio, TV","7623","1998-01-27","1998-01-31"
"135","111","Super Duper Savers","Sunday Paper","12430","1998-02-12","1998-02-15"
"136","111","Price Destroyers","Cash Register Handout","10227","1998-02-24","1998-02-26"
"137","111","Double Your Savings","Street Handout","12216","1998-03-12","1998-03-15"
"138","111","Two Day Sale","Cash Register Handout","7450","1998-03-27","1998-03-30"
"139","111","Sale Winners","Bulk Mail","10802","1998-04-09","1998-04-13"
"140","111","Double Down Sale","Product Attachment","12964","1998-04-23","1998-04-25"
"141","111","Dollar Cutters","Daily Paper, Radio, TV","7170","1998-05-07","1998-05-09"
"142","111","Pick Your Savings","Sunday Paper, Radio","14506","1998-05-20","1998-05-24"
"143","111","Coupon Spectacular","Daily Paper","9058","1998-06-03","1998-06-06"
"144","111","Dollar Days","Street Handout","10274","1998-06-17","1998-06-20"
"145","111","Fantastic Discounts","Daily Paper, Radio, TV","12009","1998-07-01","1998-07-04"
"146","111","Two Day Sale","TV","10661","1998-07-16","1998-07-18"
"147","111","You Save Days","Sunday Paper","13758","1998-07-30","1998-08-01"
"148","111","Bye Bye Baby","Product Attachment","9338","1998-08-13","1998-08-17"
"149","111","Two Day Sale","Daily Paper, Radio, TV","13290","1998-08-25","1998-08-26"
"150","111","Bag Stuffers","Cash Register Handout","9979","1998-09-09","1998-09-12"
"151","111","Two Day Sale","TV","11622","1998-09-23","1998-09-25"
"152","111","Sales Days","In-Store Coupon","10157","1998-10-08","1998-10-11"
"153","111","Big Time Savings","Street Handout","6327","1998-10-20","1998-10-23"
"154","111","Dollar Cutters","Daily Paper","11052","1998-11-06","1998-11-09"
"155","111","One Day Sale","Cash Register Handout","13896","1998-11-18","1998-11-21"
"156","111","Price Cutters","Sunday Paper, Radio","10238","1998-12-04","1998-12-07"
"157","111","Wallet Savers","TV","13936","1998-12-15","1998-12-17"
"158","111","Pick Your Savings","Sunday Paper, Radio, TV","14043","1998-12-29","1999-01-01"
"160","112","Coupon Spectacular","In-Store Coupon","6139","1996-01-18","1996-01-21"
"161","112","Sale Winners","Radio","12054","1996-01-31","1996-02-03"
"162","112","Price Winners","Street Handout","6756","1996-02-13","1996-02-15"
"163","112","Green Light Special","In-Store Coupon","6689","1996-02-29","1996-03-02"
"164","112","Dimes Off","Sunday Paper","9106","1996-03-13","1996-03-16"
"165","112","Sales Galore","Daily Paper, Radio, TV","9894","1996-03-28","1996-03-30"
"166","112","Double Your Savings","Daily Paper","6074","1996-04-11","1996-04-14"
"167","112","One Day Sale","Radio","14553","1996-04-25","1996-04-26"
"168","112","Bag Stuffers","Radio","8678","1996-05-08","1996-05-10"
"169","112","Super Duper Savers","Product Attachment","14340","1996-05-23","1996-05-26"
"170","112","Money Savers","Sunday Paper, Radio","5901","1996-06-05","1996-06-07"
"171","112","Wallet Savers","Sunday Paper, Radio, TV","5581","1996-06-20","1996-06-21"
"172","112","Price Smashers","Bulk Mail","11415","1996-07-04","1996-07-05"
"173","112","Sales Galore","Daily Paper, Radio","13166","1996-07-18","1996-07-21"
"174","112","Price Winners","Sunday Paper, Radio","10109","1996-07-31","1996-08-03"
"175","112","Two Day Sale","Radio","8334","1996-08-15","1996-08-18"
"176","112","Tip Top Savings","Radio","5877","1996-08-29","1996-08-31"
"177","112","Money Savers","Sunday Paper, Radio","11284","1996-09-10","1996-09-14"
"178","112","Saving Days","Sunday Paper, Radio, TV","6264","1996-09-26","1996-09-29"
"179","112","Super Duper Savers","Daily Paper, Radio, TV","13034","1996-10-09","1996-10-11"
"180","112","Sales Days","Cash Register Handout","12286","1996-10-23","1996-10-26"
"181","112","One Day Sale","Sunday Paper, Radio","12566","1996-11-07","1996-11-11"
"182","112","Money Savers","In-Store Coupon","12927","1996-11-20","1996-11-22"
"183","112","Green Light Days","Product Attachment","14799","1996-12-04","1996-12-07"
"184","112","Price Smashers","Sunday Paper, Radio, TV","5761","1996-12-20","1996-12-23"
"185","112","Super Wallet Savers","Daily Paper, Radio","10914","1997-01-03","1997-01-07"
"186","112","Saving Days","Daily Paper, Radio, TV","9311","1997-01-15","1997-01-17"
"187","112","Price Destroyers","Daily Paper, Radio, TV","5827","1997-01-29","1997-02-01"
"188","112","Mystery Sale","Bulk Mail","8497","1997-02-12","1997-02-14"
"189","112","Green Light Days","Sunday Paper, Radio","5868","1997-02-28","1997-03-03"
"190","112","Green Light Special","In-Store Coupon","12302","1997-03-12","1997-03-14"
"191","112","Sale Winners","Sunday Paper, Radio","7363","1997-03-26","1997-03-28"
"192","112","Price Savers","Product Attachment","14398","1997-04-11","1997-04-13"
"193","112","Two Day Sale","Cash Register Handout","10543","1997-04-24","1997-04-25"
"194","112","Sale Winners","Sunday Paper, Radio","12359","1997-05-06","1997-05-07"
"195","112","Price Slashers","Sunday Paper, Radio, TV","8621","1997-05-21","1997-05-22"
"196","112","Bag Stuffers","Street Handout","14709","1997-06-04","1997-06-05"
"197","112","Three for One","Sunday Paper","11825","1997-06-18","1997-06-20"
"198","112","Best Savings","In-Store Coupon","9022","1997-07-03","1997-07-05"
"199","112","Save-It Sale","Daily Paper, Radio","6484","1997-07-15","1997-07-17"
"200","112","Saving Days","Sunday Paper","14282","1997-07-31","1997-08-03"
"201","112","Sales Days","Daily Paper","6271","1997-08-13","1997-08-14"
"202","112","Price Destroyers","Sunday Paper, Radio","11505","1997-08-27","1997-08-31"
"203","112","One Day Sale","Cash Register Handout","14856","1997-09-09","1997-09-11"
"204","112","Shelf Clearing Days","In-Store Coupon","10921","1997-09-23","1997-09-24"
"205","112","You Save Days","Sunday Paper","5127","1997-10-09","1997-10-13"
"206","112","Super Savers","TV","8397","1997-10-24","1997-10-26"
"207","112","Super Duper Savers","Cash Register Handout","12950","1997-11-05","1997-11-09"
"208","112","I Cant Believe It Sale","Sunday Paper, Radio","14165","1997-11-21","1997-11-22"
"209","112","Big Time Savings","Street Handout","13245","1997-12-05","1997-12-06"
"210","112","Price Cutters","Cash Register Handout","14552","1997-12-19","1997-12-22"
"211","112","Pick Your Savings","Daily Paper","7650","1997-12-30","1998-01-02"
"212","112","Go For It","Radio","10574","1998-01-15","1998-01-17"
"213","112","Price Cutters","Street Handout","14526","1998-01-28","1998-01-30"
"214","112","Coupon Spectacular","TV","5147","1998-02-13","1998-02-15"
"215","112","Unbeatable Price Savers","Product Attachment","9445","1998-02-24","1998-02-28"
"216","112","Price Winners","Daily Paper","14078","1998-03-11","1998-03-13"
"217","112","One Day Sale","Bulk Mail","12903","1998-03-26","1998-03-28"
"218","112","Price Cutters","Sunday Paper","7629","1998-04-09","1998-04-11"
"219","112","Price Smashers","Daily Paper","7817","1998-04-21","1998-04-22"
"220","112","High Roller Savings","Daily Paper, Radio, TV","6815","1998-05-07","1998-05-09"
"221","112","Price Destroyers","Street Handout","10513","1998-05-21","1998-05-22"
"222","112","Two for One","Product Attachment","10620","1998-06-04","1998-06-06"
"223","112","Super Wallet Savers","Cash Register Handout","12008","1998-06-17","1998-06-19"
"224","112","Dollar Cutters","TV","6618","1998-07-02","1998-07-05"
"225","112","Price Winners","Street Handout","12533","1998-07-15","1998-07-17"
"226","112","Price Slashers","Daily Paper","10677","1998-07-29","1998-08-01"
"227","112","Shelf Clearing Days","Sunday Paper","10610","1998-08-11","1998-08-14"
"228","112","Big Promo","Sunday Paper, Radio, TV","13027","1998-08-27","1998-08-31"
"229","112","Dimes Off","Radio","13815","1998-09-08","1998-09-11"
"230","112","Pick Your Savings","Product Attachment","7340","1998-09-24","1998-09-26"
"231","112","Savings Galore","Street Handout","8474","1998-10-08","1998-10-10"
"232","112","Price Cutters","TV","12599","1998-10-22","1998-10-25"
"233","112","Money Savers","Sunday Paper, Radio, TV","8261","1998-11-05","1998-11-07"
"234","112","Three for One","Daily Paper, Radio, TV","9822","1998-11-19","1998-11-22"
"235","112","Big Time Savings","Cash Register Handout","10911","1998-12-03","1998-12-06"
"236","112","Free For All","Radio","14090","1998-12-16","1998-12-19"
"237","112","Super Duper Savers","In-Store Coupon","14624","1998-12-29","1998-12-30"
"239","113","Price Destroyers","Sunday Paper","12447","1996-01-16","1996-01-17"
"240","113","Big Promo","Bulk Mail","9990","1996-02-01","1996-02-04"
"241","113","Double Your Savings","TV","5397","1996-02-14","1996-02-18"
"242","113","Shelf Emptiers","In-Store Coupon","10377","1996-03-01","1996-03-03"
"243","113","Save-It Sale","Street Handout","7147","1996-03-14","1996-03-17"
"244","113","Coupon Spectacular","Sunday Paper, Radio","6399","1996-03-29","1996-04-02"
"245","113","Bye Bye Baby","In-Store Coupon","10581","1996-04-10","1996-04-13"
"246","113","Pick Your Savings","Daily Paper, Radio","10942","1996-04-23","1996-04-27"
"247","113","Super Wallet Savers","Daily Paper","8913","1996-05-09","1996-05-10"
"248","113","Wallet Savers","Bulk Mail","9874","1996-05-22","1996-05-26"
"249","113","Price Savers","Radio","5027","1996-06-04","1996-06-06"
"250","113","Mystery Sale","Street Handout","13425","1996-06-21","1996-06-24"
"251","113","Best Savings","In-Store Coupon","9940","1996-07-04","1996-07-06"
"252","113","Price Slashers","Cash Register Handout","12611","1996-07-18","1996-07-22"
"253","113","Pick Your Savings","Daily Paper, Radio","9981","1996-07-31","1996-08-01"
"254","113","Price Winners","Sunday Paper","6416","1996-08-15","1996-08-18"
"255","113","One Day Sale","TV","8034","1996-08-29","1996-08-30"
"256","113","Mystery Sale","Radio","12414","1996-09-13","1996-09-16"
"257","113","Unbeatable Price Savers","Product Attachment","14657","1996-09-25","1996-09-28"
"258","113","Green Light Days","Product Attachment","9128","1996-10-10","1996-10-12"
"259","113","High Roller Savings","Radio","12734","1996-10-25","1996-10-28"
"260","113","One Day Sale","In-Store Coupon","11478","1996-11-07","1996-11-10"
"261","113","Fantastic Discounts","Product Attachment","8594","1996-11-22","1996-11-26"
"262","113","I Cant Believe It Sale","Sunday Paper","5791","1996-12-04","1996-12-05"
"263","113","Sale Winners","Radio","10598","1996-12-19","1996-12-22"
"264","113","Three for One","Product Attachment","11051","1997-01-03","1997-01-05"
"265","113","Savings Galore","Sunday Paper","10384","1997-01-16","1997-01-18"
"266","113","One Day Sale","Radio","6952","1997-01-28","1997-01-31"
"267","113","I Cant Believe It Sale","TV","12960","1997-02-13","1997-02-17"
"268","113","Shelf Emptiers","Sunday Paper","12466","1997-02-27","1997-03-02"
"269","113","Weekend Markdown","Daily Paper, Radio","9328","1997-03-14","1997-03-16"
"270","113","Save-It Sale","Cash Register Handout","12599","1997-03-28","1997-03-31"
"271","113","Price Smashers","Radio","14495","1997-04-11","1997-04-13"
"272","113","Weekend Markdown","Daily Paper, Radio, TV","8367","1997-04-23","1997-04-25"
"273","113","Dollar Cutters","Sunday Paper, Radio","7446","1997-05-07","1997-05-09"
"274","113","Best Savings","Radio","6098","1997-05-21","1997-05-22"
"275","113","Coupon Spectacular","Product Attachment","11851","1997-06-04","1997-06-07"
"276","113","Saving Days","Street Handout","11333","1997-06-19","1997-06-21"
"277","113","Green Light Days","Cash Register Handout","5285","1997-07-03","1997-07-05"
"278","113","Go For It","Street Handout","11974","1997-07-17","1997-07-18"
"279","113","Go For It","Daily Paper, Radio","13617","1997-07-31","1997-08-03"
"280","113","Save-It Sale","Sunday Paper","10906","1997-08-15","1997-08-16"
"281","113","Pick Your Savings","Sunday Paper","9731","1997-08-27","1997-08-30"
"282","113","Coupon Spectacular","Cash Register Handout","11801","1997-09-10","1997-09-13"
"283","113","Big Time Savings","Product Attachment","14645","1997-09-25","1997-09-28"
"284","113","Go For It","Sunday Paper, Radio, TV","13643","1997-10-08","1997-10-11"
"285","113","Dollar Days","In-Store Coupon","7341","1997-10-22","1997-10-25"
"286","113","Dimes Off","Daily Paper, Radio, TV","8694","1997-11-06","1997-11-09"
"287","113","Sale Winners","Daily Paper, Radio","10083","1997-11-21","1997-11-23"
"288","113","Sale Winners","Product Attachment","8134","1997-12-05","1997-12-06"
"289","113","Two Day Sale","Daily Paper","6705","1997-12-19","1997-12-22"
"290","113","High Roller Savings","Product Attachment","12193","1998-01-01","1998-01-02"
"291","113","Shelf Emptiers","Daily Paper, Radio","14782","1998-01-14","1998-01-17"
"292","113","You Save Days","In-Store Coupon","14543","1998-01-30","1998-02-01"
"293","113","Money Savers","Bulk Mail","7987","1998-02-11","1998-02-15"
"294","113","Coupon Spectacular","Sunday Paper, Radio, TV","11512","1998-02-25","1998-02-28"
"295","113","Go For It","Daily Paper","12646","1998-03-10","1998-03-13"
"296","113","Unbeatable Price Savers","Daily Paper","10673","1998-03-26","1998-03-29"
"297","113","Weekend Markdown","TV","8990","1998-04-09","1998-04-11"
"298","113","Double Down Sale","Daily Paper","7896","1998-04-23","1998-04-27"
"299","113","Green Light Days","Daily Paper","7576","1998-05-07","1998-05-10"
"300","113","Big Promo","Daily Paper, Radio, TV","13410","1998-05-20","1998-05-22"
"301","113","Price Cutters","Daily Paper, Radio, TV","13944","1998-06-02","1998-06-03"
"302","113","One Day Sale","Daily Paper, Radio","10887","1998-06-18","1998-06-22"
"303","113","Bye Bye Baby","Street Handout","11768","1998-07-03","1998-07-04"
"304","113","Two Day Sale","Sunday Paper, Radio, TV","9311","1998-07-16","1998-07-19"
"305","113","Price Winners","Sunday Paper, Radio, TV","14718","1998-07-29","1998-08-02"
"306","113","Fantastic Discounts","Daily Paper, Radio, TV","7042","1998-08-14","1998-08-15"
"307","113","Sales Days","Sunday Paper","7743","1998-08-26","1998-08-29"
"308","113","Big Time Discounts","Radio","6995","1998-09-10","1998-09-11"
"309","113","Price Destroyers","Bulk Mail","7275","1998-09-22","1998-09-24"
"310","113","Double Down Sale","Radio","7636","1998-10-07","1998-10-10"
"311","113","Price Destroyers","Sunday Paper","5607","1998-10-21","1998-10-23"
"312","113","Price Destroyers","Street Handout","6568","1998-11-03","1998-11-06"
"313","113","Saving Days","Daily Paper, Radio, TV","9065","1998-11-19","1998-11-23"
"314","113","Pick Your Savings","In-Store Coupon","7463","1998-12-02","1998-12-04"
"315","113","Three for One","Bulk Mail","6634","1998-12-16","1998-12-19"
"318","114","Tip Top Savings","Radio","14519","1996-01-18","1996-01-21"
"319","114","Wallet Savers","Daily Paper","12235","1996-02-01","1996-02-03"
"320","114","Price Slashers","TV","6615","1996-02-14","1996-02-18"
"321","114","Three for One","Sunday Paper, Radio, TV","8858","1996-02-29","1996-03-04"
"322","114","Pick Your Savings","Street Handout","10674","1996-03-15","1996-03-19"
"323","114","Green Light Days","TV","6935","1996-03-27","1996-03-29"
"324","114","Bye Bye Baby","Sunday Paper","13024","1996-04-10","1996-04-12"
"325","114","Savings Galore","Sunday Paper, Radio, TV","10140","1996-04-23","1996-04-25"
"326","114","Fantastic Discounts","Daily Paper, Radio","9992","1996-05-09","1996-05-11"
"327","114","Mystery Sale","TV","6045","1996-05-21","1996-05-23"
"328","114","High Roller Savings","Sunday Paper","13843","1996-06-05","1996-06-09"
"329","114","Price Winners","Bulk Mail","5832","1996-06-18","1996-06-22"
"330","114","Bye Bye Baby","Bulk Mail","11066","1996-07-03","1996-07-05"
"331","114","Money Grabbers","Cash Register Handout","7073","1996-07-16","1996-07-18"
"332","114","Price Cutters","Daily Paper, Radio","6579","1996-08-02","1996-08-05"
"333","114","Coupon Spectacular","Radio","13441","1996-08-13","1996-08-16"
"334","114","Two Day Sale","Sunday Paper, Radio","14056","1996-08-28","1996-08-30"
"335","114","Two for One","Bulk Mail","8609","1996-09-11","1996-09-14"
"336","114","Coupon Spectacular","Street Handout","12480","1996-09-26","1996-09-30"
"337","114","Save-It Sale","Daily Paper, Radio, TV","11559","1996-10-10","1996-10-13"
"338","114","Price Smashers","Radio","6769","1996-10-23","1996-10-27"
"339","114","Big Time Discounts","Radio","9867","1996-11-06","1996-11-10"
"340","114","Mystery Sale","Daily Paper","5447","1996-11-19","1996-11-23"
"341","114","Price Smashers","Sunday Paper, Radio","9399","1996-12-05","1996-12-08"
"342","114","Price Savers","Daily Paper","6088","1996-12-20","1996-12-22"
"343","114","Price Smashers","Radio","7730","1997-01-03","1997-01-07"
"344","114","Bag Stuffers","Sunday Paper, Radio, TV","5019","1997-01-15","1997-01-17"
"345","114","High Roller Savings","Daily Paper, Radio","13845","1997-01-30","1997-01-31"
"346","114","Go For It","Radio","5914","1997-02-13","1997-02-14"
"347","114","Dimes Off","Sunday Paper, Radio, TV","8758","1997-02-28","1997-03-02"
"348","114","Two Day Sale","Cash Register Handout","9003","1997-03-14","1997-03-16"
"349","114","Pick Your Savings","Radio","10045","1997-03-27","1997-03-28"
"350","114","Double Your Savings","Sunday Paper","10152","1997-04-10","1997-04-11"
"351","114","Mystery Sale","Radio","11540","1997-04-23","1997-04-26"
"352","114","Tip Top Savings","Sunday Paper, Radio, TV","12247","1997-05-07","1997-05-10"
"353","114","Price Destroyers","Product Attachment","10818","1997-05-20","1997-05-21"
"354","114","Green Light Days","Sunday Paper, Radio, TV","6306","1997-06-03","1997-06-05"
"355","114","Price Cutters","Radio","8896","1997-06-20","1997-06-21"
"356","114","Weekend Markdown","Sunday Paper","8656","1997-07-02","1997-07-05"
"357","114","Double Your Savings","Cash Register Handout","12100","1997-07-17","1997-07-19"
"358","114","Save-It Sale","Cash Register Handout","9498","1997-08-01","1997-08-02"
"359","114","Big Time Savings","Sunday Paper, Radio, TV","7976","1997-08-15","1997-08-17"
"360","114","Price Smashers","Daily Paper, Radio","12102","1997-08-29","1997-09-01"
"361","114","Coupon Spectacular","Sunday Paper, Radio","7763","1997-09-12","1997-09-14"
